;;;YOVA SUPERMART;;;;;;;;No PO;;;;: 2018005418;;;;;;;
;;;JL. Mayjend Soetoyo No.88 Gn Malang-;;;;;;;;Delivered Date;;;;: Sabtu, 02 Jun 2018;;;;;;;
;;;;;;;;;;;PO Expired Date;;;;: Kamis, 07 Jun 2018;;;;;;;
;;;Telp. 745259/745204;;Fax. 422293;;;;;;Supplier;;;;: B0001 - BINTANG YASA NIAGATAMAABADI;;;;;;;
;;;BALIKPAPAN;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;Kode;;Nama Produk;;;Satuan;;;;;;;BSR.TGH.KCL;;SatuanKecil;;;Harga Kecil;;;Rp PO
1;8999999401252.00;;RINSO DETERGENT ANTI NODA 1.8 KG;;;;CAR/6.CAR/6.PCS;;;;;;;10.0.0;;60;;;31.909;;;1.914.540
2;8999999008376.00;;RINSO ANTI NODA 700GR;;;;CAR/12.CAR/12.PCS;;;;;;;10.0.0;;120;;;11.636;;;1.396.320
3;8999999500665.00;;RINSO MOLTO 1.8KG;;;;CAR/6.CAR/6.PCS;;;;;;;10.0.0;;60;;;31.909;;;1.914.540
;;;;;;;;;;;;;;;;;;;;;;
;Keterangan : ;;;;;;;Gross :;;;;;5.225.400;;;;;Nett :;;;5.225.400;
;Telp : 0542-7015151;;;;;;;Disc :;;;;;0;;;;;PPN :;;;522.54;
;Fax : 0542-874455;;;;;;;Nett :;;;;;5.225.400;;;;;Nett+PPN :;;;5.747.940;
;;;;;;Mengetahui,;;;;;;Pembeli,;;;;;;;;;;
;Halaman 1 / 1;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;Oleh NUR;;;;;;;;;;;;;;;;;;;;;
;Printed : 07/07/2018 8:08:24 AM;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
* Smart Distribution Sistem *;;;;;;;;;;;;;;;;;;;;;;
