code_store;po_no;barcode;qty;modal_karton
358926;SINAR 300518;8999999515515;150;4607
358926;SINAR 300518;8999999041861;12;24710
358926;SINAR 300518;8999999042134;6;45927
358926;SINAR 300518;8999999504038;90;4607
358926;SINAR 300518;8999999041892;12;9303
358926;SINAR 300518;8999999041908;24;22643
358926;SINAR 300518;8999999043353;36;4627
358926;SINAR 300518;8999999526252;12;4627
358926;SINAR 300518;8999999046163;12;30520
358926;SINAR 300518;8999999504007;90;4607
358926;SINAR 300518;8999999041854;24;9303
358926;SINAR 300518;8999999520120;8;81841
358926;SINAR 300518;8999999525651;12;23726
358926;SINAR 300518;8999999400958;24;9205
358926;SINAR 300518;8999999400989;12;18016
358926;SINAR 300518;8999999400934;24;5070
358926;SINAR 300518;8999999401023;24;9205
358926;SINAR 300518;8999999400996;12;18016
358926;SINAR 300518;8999999403119;12;11469
358926;SINAR 300518;8999999403188;24;11469
358926;SINAR 300518;8999999403331;12;22497
358926;SINAR 300518;8999999027063;24;9796
358926;SINAR 300518;8999999057633;60;4607
