code_store;po_no;barcode;qty;modal_karton
358970;2519-PO-PM1-05-18;8999999706173;360;5027
358970;2519-PO-PM1-05-18;8999999037765;360;9066
358970;2519-PO-PM1-05-18;8999999706180;240;7831
358970;2519-PO-PM1-05-18;8999999005801;108;13375
358970;2519-PO-PM1-05-18;8999999008062;48;17810
358970;2519-PO-PM1-05-18;8999999008055;72;13106
358970;2519-PO-PM1-05-18;8999999008079;48;17363
358970;2519-PO-PM1-05-18;8999999039233;48;7115
358970;2519-PO-PM1-05-18;8999999039226;48;7115
358970;2519-PO-PM1-05-18;8999999043254;48;8707
